ID,name,abbreviation,area,population
1,Академический,ЮЗАО,"5,83",113198
2,Алексеевский,СВАО,"5,29",78502
3,Алтуфьевский,СВАО,"3,25",55753
4,Арбат,ЦАО,"2,11",35962
5,Аэропорт,САО,"4,58",81964
6,Бабушкинский,СВАО,"5,07",68075
7,Басманный,ЦАО,"8,37",109051
8,Беговой,САО,"5,56",42729
9,Бескудниковский,САО,"3,30",78556
10,Бибирево,СВАО,"6,45",159344
11,Бирюлёво Восточное,ЮАО,"14,77",157292
12,Бирюлёво Западное,ЮАО,"8,51",86038
13,Богородское,ВАО,"10,24",108657
14,Братеево,ЮАО,"7,63",102572
15,Бутырский,СВАО,"5,04",72472
16,Вешняки,ВАО,"10,72",119927
17,Внуково,ЗАО,"17,42",26182
18,Войковский,САО,"6,61",72033
19,Восточное Дегунино,САО,"3,77",101601
20,Восточное Измайлово,ВАО,"3,85",73929
21,Восточный,ВАО,"3,14",12906
22,Выхино-Жулебино,ЮВАО,"14,97",241783
23,Гагаринский,ЮЗАО,"5,50",80987
24,Головинский,САО,"8,93",104554
25,Гольяново,ВАО,"14,99",165243
26,Даниловский,ЮАО,"12,60",105140
27,Дмитровский,САО,"7,29",103271
28,Донской,ЮАО,"5,73",51967
29,Дорогомилово,ЗАО,"7,95",76926
30,Замоскворечье,ЦАО,"4,32",54521
31,Западное Дегунино,САО,"7,53",85514
32,Зюзино,ЮЗАО,"5,45",124527
33,Зябликово,ЮАО,"4,38",133651
34,Ивановское,ВАО,"10,19",125042
35,Измайлово,ВАО,"15,24",107953
36,Капотня,ЮВАО,"8,06",32717
37,Коньково,ЮЗАО,"7,18",151790
38,Коптево,САО,"5,38",102809
39,Косино-Ухтомский,ВАО,"15,05",89113
40,Котловка,ЮЗАО,"3,94",64976
41,Красносельский,ЦАО,"4,96",45691
42,Крылатское,ЗАО,"12,04",82923
43,Крюково,ЗелАО,"10,49",108426
44,Кузьминки,ЮВАО,"8,15",140670
45,Кунцево,ЗАО,"16,56",153316
46,Куркино,СЗАО,"7,90",32326
47,Левобережный,САО,"8,00",55355
48,Лефортово,ЮВАО,"9,06",106078
49,Лианозово,СВАО,"5,79",84811
50,Ломоносовский,ЮЗАО,"3,34",87923
51,Лосиноостровский,СВАО,"5,54",82683
52,Люблино,ЮВАО,"17,41",181447
53,Марфино,СВАО,"2,97",36566
54,Марьина Роща,СВАО,"4,68",63095
55,Марьино,ЮВАО,"11,91",271915
56,Матушкино,ЗелАО,"4,38",41877
57,Метрогородок,ВАО,"27,57",39623
58,Мещанский,ЦАО,"4,60",56620
59,Митино,СЗАО,"12,67",197840
60,Можайский,ЗАО,"10,73",147606
61,Молжаниновский,САО,"21,78",12487
62,Москворечье-Сабурово,ЮАО,"9,30",88095
63,Нагатино-Садовники,ЮАО,"8,17",83658
64,Нагатинский Затон,ЮАО,"9,80",120618
65,Нагорный,ЮАО,"5,42",77938
66,Некрасовка,ЮВАО,11.47,108388
67,Нижегородский,ЮВАО,"7,57",49563
68,Новогиреево,ВАО,"4,45",99961
69,Новокосино,ВАО,"3,60",106320
70,Ново-Переделкино,ЗАО,"8,48",123219
71,Обручевский,ЮЗАО,"6,11",87447
72,Орехово-Борисово Северное,ЮАО,"7,67",126387
73,Орехово-Борисово Южное,ЮАО,"6,94",148059
74,Останкинский,СВАО,"12,46",65296
75,Отрадное,СВАО,"10,18",187728
76,Очаково-Матвеевское,ЗАО,"17,54",127680
77,Перово,ВАО,"9,73",135315
78,Печатники,ЮВАО,"17,89",90252
79,Покровское-Стрешнево,СЗАО,"12,90",66564
