global_id,ObjectName,AdmArea,District,Address,Photo,Email,WebSite,HelpPhone,Longitude,Latitude
284508021,Творческий центр «Шаги»,Северный административный округ,район Западное Дегунино,"улица Ивана Сусанина, дом 4, корпус 5",50e29ff7-2c44-4ddd-8147-bba8575171a6,art-shagi@mail.ru,www.art-shagi.ru,(903) 002-92-92,37.528462976,55.866989605
407175195,Досуговый центр «Центр Вешняки»,Восточный административный округ,район Вешняки,"улица Старый Гай, дом 8Ж",574e9e1b-ad85-448f-a668-b3300a3bec62,gbu-mossovet@pvao.mos.ru,mossovet.mos.ru,(499) 373-35-78,37.824642697,55.74038695
407175599,Территориальное управлене Новогиреево ГБУ ООЦ им. Моссовета,Восточный административный округ,район Новогиреево,"Мартеновская улица, дом 30",9d9068ed-ef54-4760-88e1-acc774b5f0f6,cdsnovo@mail.ru,cdsnovo.ru/,(495) 303-50-83,37.80260356,55.74882937
407176194,Физкультурно-оздоровительный комплекс «Центр Вешняки»,Восточный административный округ,район Вешняки,"Вешняковская улица, дом 29Д",21df891e-a583-4192-a2d4-ff9a6b64a531,mu_sdc@mail.ru,центрвешняки.рус/,(499) 373-02-22,37.831620903,55.722849387
407176429,Физкультурно-оздоровительный комплекс «Центр Вешняки»,Восточный административный округ,район Вешняки,"Вешняковская улица, дом 29Д",93ad7aaf-0b38-4927-99e0-393f3b4f0134,mu_sdc@mail.ru,центрвешняки.рус/,(499) 373-02-22,37.831620903,55.722849387
407176583,Физкультурно-оздоровительный комплекс «Центр Вешняки»,Восточный административный округ,район Вешняки,"Вешняковская улица, дом 29Д",726be7cb-286a-4f6b-93af-eb8d8e7fb721,mu_sdc@mail.ru,центрвешняки.рус/,(499) 373-02-22,37.831620903,55.722849387
407176802,Физкультурно-оздоровительный комплекс «Центр Вешняки»,Восточный административный округ,район Вешняки,"Вешняковская улица, дом 29Д",46ebe84d-23d7-46cd-8823-f479aa98d56f,mu_sdc@mail.ru,центрвешняки.рус/,(499) 373-02-22,37.831620903,55.722849387
407192328,Фитнес-клуб «Мегаполис»,Северный административный округ,Савёловский район,"Вятская улица, дом 27, строение 12",24c0a2f2-438f-43ee-9cf5-b7ef80c6fe41,info@megapolisfit.ru,megapolisfit.ru/?utm_campaign=maps&utm_medium=maps&utm_source=yandex,(495) 775-88-89,37.580535459,55.797135645
407192541,Фитнес-клуб «Мегаполис»,Северный административный округ,Савёловский район,"Вятская улица, дом 27, строение 12",dc7f86b7-d16f-40ed-8985-465152183b6f,info@megapolisfit.ru,megapolisfit.ru/?utm_campaign=maps&utm_medium=maps&utm_source=yandex,(495) 775-88-89,37.580235052,55.797105426
407192830,Фитнес-клуб «Мегаполис»,Северный административный округ,Савёловский район,"Вятская улица, дом 27, строение 12",46056e26-a7db-49c8-a85d-85f8c9924207,info@megapolisfit.ru,megapolisfit.ru/?utm_campaign=maps&utm_medium=maps&utm_source=yandex,(495) 775-88-89,37.580412077,55.797034412
407193082,Фитнес-клуб «Мегаполис»,Северный административный округ,Савёловский район,"Вятская улица, дом 27, строение 12",301fcab2-903f-4f0d-b017-805e07b76e85,info@megapolisfit.ru,megapolisfit.ru/?utm_campaign=maps&utm_medium=maps&utm_source=yandex,(495) 775-88-89,37.580581057,55.797025346
407193398,Спортивный комплекс «Измайлово»,Восточный административный округ,район Северное Измайлово,"11-я Парковая улица, дом 49",36c596a3-b979-438b-9b7f-3b13cc0f96e3,mgfso@mossport.ru,mgfso.mossport.ru,(499) 242-84-44,37.803114509,55.806217689
407193656,Спортивный комплекс «Измайлово»,Восточный административный округ,район Северное Измайлово,"11-я Парковая улица, дом 49",d768e25f-0095-4916-8b9c-d6fd11a60072,mgfso@mossport.ru,mgfso.mossport.ru,(499) 242-84-44,37.803392365,55.806227613
407193854,Спортивный комплекс «Измайлово»,Восточный административный округ,район Северное Измайлово,"11-я Парковая улица, дом 49",7712885e-25b3-4f9c-aae4-3c44704b3bb2,mgfso@mossport.ru,mgfso.mossport.ru,(499) 242-84-44,37.803687408,55.80623114
407198188,Досуговый центр «Талисман»,Зеленоградский административный округ,район Савёлки,"город Зеленоград, корпус 618",cccddce2-5c4b-4f76-a78c-cc76506d0dc6,mbutalisman@mail.ru,gbutalisman.ru,(499) 735-98-90,37.235520709,55.989205515
407199296,Досуговый центр «Спортивно-досуговый центр «Фаворит»,Зеленоградский административный округ,район Крюково,"город Зеленоград, корпус 1444",449be644-81d1-495d-9fa1-a5fdf864a1ea,mufavorit@mail.ru,gbufavorit.ru/,(499) 733-41-44,37.151623377,55.986129853
407199624,Досуговый центр «Фаворит»,Зеленоградский административный округ,район Крюково,"город Зеленоград, корпус 1804Б",235db5f5-d62f-4931-9e71-5ca50bb5fd5c,mufavorit@mail.ru,gbufavorit.ru/,(499) 733-41-44,37.165678557,55.978802479
407202217,Физкультурно-оздоровительный комплекс Московской гандбольной академии,Северо-Западный административный округ,район Северное Тушино,"улица Вилиса Лациса, домовладение 20",64b273b7-a1a8-4a8a-9d20-581b88e1c802,mga@mossport.ru,mga.mossport.ru,(499) 762-03-10,37.419399766,55.862472068
407204283,Спортивный комплекс «Эдельвейс»,Восточный административный округ,район Гольяново,"Уральская улица, дом 19А",7aba6a80-ee71-48a7-a9ca-f7b128176ebc,mso@mos.ru,mso.mossport.ru,(495) 681-01-48,37.797383293,55.821793385
407204519,Спортивный комплекс «Эдельвейс»,Восточный административный округ,район Гольяново,"Уральская улица, дом 19А",e8de9753-4135-418c-a180-0048232fdf96,mso@mos.ru,mso.mossport.ru,(495) 681-01-48,37.797261477,55.821807128
407205054,Спортивный комплекс «Одиссей»,Восточный административный округ,район Ивановское,"улица Молостовых, дом 10Д",bd3d4667-a9fa-42e3-acb2-4a57de3c0750,mso@mos.ru,mso.mossport.ru,(495) 681-01-48,37.828433583,55.759080282
407205813,Спортивный комплекс «Олимпия»,Восточный административный округ,район Новогиреево,"Фрязевская улица, дом 13А",0a86238f-670d-44c1-a8dd-130043887638,mso@mos.ru,mso.mossport.ru,(495) 681-01-48,37.82602449,55.746807596
407206571,Спортивный комплекс «Вешняки»,Восточный административный округ,район Вешняки,"Косинская улица, дом 12Б",6b116b6f-5b39-43c0-870f-37f5f3452e21,mso@mos.ru,mso.mossport.ru,(495) 681-01-48,37.833680997,55.724690425
407206830,Спортивный комплекс «Вешняки»,Восточный административный округ,район Вешняки,"Косинская улица, дом 12Б",28efe124-d780-4440-9dc6-13aa7d868e44,mso@mos.ru,mso.mossport.ru,(495) 681-01-48,37.833709321,55.724699944
407207332,Спортивный комплекс «Вешняки»,Восточный административный округ,район Вешняки,"Косинская улица, дом 12Б",b9dc5244-eece-4176-ac27-b7169658605d,mso@mos.ru,mso.mossport.ru,(495) 681-01-48,37.833657008,55.724706623
407207553,Спортивный комплекс «Вешняки»,Восточный административный округ,район Вешняки,"Косинская улица, дом 12Б",1a386cd8-1f70-48a5-9629-6a5ccb32c8f3,mso@mos.ru,mso.mossport.ru,(495) 681-01-48,37.833646962,55.72469599
407208079,Спортивный комплекс «Альбатрос»,Восточный административный округ,район Косино-Ухтомский,"Лухмановская улица, дом 19А",fa4f8fcc-0169-4b19-bff1-0b0a669f49b5,mso@mos.ru,mso.mossport.ru,(495) 681-01-48,37.898094554,55.723127564
407215989,Спортивный комплекс «Есенинский (физкультурно-оздоровительный комплекс с бассейном),Юго-Восточный административный округ,район Кузьминки,"Есенинский бульвар, дом 9, корпус 2, строение 1",33ba4c26-b524-4e42-8485-31553ce48a1e,vostok@mossport.ru,vostok.mossport.ru,(499) 175-54-12,37.781258877,55.700651902
407216785,Спортивный комплекс «Центральный» на 3-ей Фрунзенской ул.,Центральный административный округ,район Хамовники,"3-я Фрунзенская улица, дом 5",2d5c1643-6164-4789-ab01-187adf408949,mgfso@mossport.ru,mgfso.mossport.ru,(499) 242-84-44,37.578630432,55.720174703
407217050,Спортивный комплекс «Центральный» на 3-ей Фрунзенской ул.,Центральный административный округ,район Хамовники,"3-я Фрунзенская улица, дом 5",9326ee3d-70e9-4029-8804-75f52d329e20,mgfso@mossport.ru,mgfso.mossport.ru,(499) 242-84-44,37.579022034,55.720008169
407218303,"Спортивный комплекс «Меридиан», к. 3",Юго-Восточный административный округ,Нижегородский район,"Рязанский проспект, дом 7, корпус 3",4cedaee5-97e9-4214-a1aa-edfc339bf2ed,mso@mos.ru,mso.mossport.ru,(495) 681-01-48,37.73781395,55.731902126
407221809,Фитнес-клуб «Х-Фит Монарх»,Северный административный округ,район Беговой,"Ленинградский проспект, дом 31А, строение 1",4207ee02-fd12-49a6-a8f6-b017f62970c9,monsport-manager@xfit.ru,www.xfit.ru/club/moskva/monarch,(495) 859-15-89,37.559867106,55.783533384
407221963,Фитнес-клуб «Х-Фит Монарх»,Северный административный округ,район Беговой,"Ленинградский проспект, дом 31А, строение 1",cbc31df3-137e-46c4-9e9f-2fcdeb375cc2,monsport-manager@xfit.ru,www.xfit.ru/club/moskva/monarch,(495) 859-15-89,37.559977076,55.783462345
407222214,Фитнес-клуб «Х-Фит Монарх»,Северный административный округ,район Беговой,"Ленинградский проспект, дом 31А, строение 1",e1a68de2-5431-4288-bb83-ce875beeacdc,monsport-manager@xfit.ru,www.xfit.ru/club/moskva/monarch,(495) 859-15-89,37.559883199,55.78339584
407222526,Фитнес-клуб «Х-Фит Монарх»,Северный административный округ,район Беговой,"Ленинградский проспект, дом 31А, строение 1",87faff11-065f-4ebe-b6ea-51410d6a34b4,monsport-manager@xfit.ru,www.xfit.ru/club/moskva/monarch,(495) 859-15-89,37.559971712,55.783330846
407222771,Фитнес-клуб «Х-Фит Монарх»,Северный административный округ,район Беговой,"Ленинградский проспект, дом 31А, строение 1",ec18e2e5-b61e-4ae8-b9d8-b35ecfc958cf,monsport-manager@xfit.ru,www.xfit.ru/club/moskva/monarch,(495) 859-15-89,37.559749088,55.783550011
407223707,Фитнес-клуб «Х-Фит Правда»,Северный административный округ,район Беговой,"улица Правды, дом 21, строение 2",48b5f393-7dbd-4bd3-90b3-1fd8603d4001,pravda@fitness.ru,pravda.xfit.ru/?utm_source=google_carty&utm_campaign=google_carty_pravda,(495) 126-94-26,37.580206055,55.788315615
407232861,Досуговый центр «На ул. Черняховского»,Северный административный округ,район Аэропорт,"улица Черняховского, дом 17, корпус 1",e8edd83f-f910-4b02-90ba-1998386925ff,mso@mos.ru,mso.mossport.ru/,(495) 681-01-48,37.538523489,55.807540914
407235660,Спортивный комплекс «Белые медведи»,Северный административный округ,район Ховрино,"Петрозаводская улица, дом 28, строение 1",34ab5363-a1e9-4fe5-87fb-4f13cef6487a,mso@mos.ru,mso.mossport.ru,(495) 681-01-48,37.488178006,55.870020997
407235874,Спортивный комплекс «Белые медведи»,Северный административный округ,район Ховрино,"Петрозаводская улица, дом 28, строение 1",4a44a6e0-5234-4bd4-a7ab-4d7e81d77ff5,mso@mos.ru,mso.mossport.ru,(495) 681-01-48,37.487958065,55.869965198
407236093,Спортивный комплекс «Белые медведи»,Северный административный округ,район Ховрино,"Петрозаводская улица, дом 28, строение 1",bc079226-fe2d-44c7-8048-83269b494b1f,mso@mos.ru,mso.mossport.ru,(495) 681-01-48,37.488124361,55.86978724
407237180,Физкультурно-оздоровительный комплекс Московской волейбольной академии на ул. Алабяна,Северный административный округ,район Сокол,"улица Алабяна, дом 13, корпус 1",bae3b828-af2c-4bf2-859a-d22ac8af4d8c,mva@mossport.ru,mva.mossport.ru,(499) 195-99-95,37.505978527,55.799992932
407237799,Физкультурно-оздоровительный комплекс Московской волейбольной академии на ул. Алабяна,Северный административный округ,район Сокол,"улица Алабяна, дом 13, корпус 1",500d4eeb-0060-472a-8881-b77f54ffcb2b,mva@mossport.ru,mva.mossport.ru,(499) 195-99-95,37.506002158,55.799737105
407237968,Физкультурно-оздоровительный комплекс Московской волейбольной академии на ул. Алабяна,Северный административный округ,район Сокол,"улица Алабяна, дом 13, корпус 1",fb63391d-5ef6-4ecc-87ac-02f6556fdc6d,mva@mossport.ru,mva.mossport.ru,(499) 195-99-95,37.506272773,55.799858961
407238365,Спортивный комплекс «Кронштадтский»,Северный административный округ,Головинский район,"Кронштадтский бульвар, дом 20А, корпус 7А",234238e1-39c8-4f6b-b7c5-6639860e36cb,sever@mossport.ru,sever.mossport.ru,(499) 158-58-01,37.507292322,55.844514564
407238599,Спортивный комплекс «Кронштадтский»,Северный административный округ,Головинский район,"Кронштадтский бульвар, дом 20А, корпус 7А",4bf4e3dc-dac1-4c95-8167-fd7e45f11de7,sever@mossport.ru,sever.mossport.ru,(499) 158-58-01,37.507657364,55.844507928
407239306,Центр борьбы «Бескудниково»,Северный административный округ,Бескудниковский район,"Бескудниковский бульвар, дом 12",f086dc41-a9b3-4d1b-b97e-776582187ff7,sever@mossport.ru,sever.mossport.ru,(499) 488-51-64,37.563494834,55.862025553
407239546,Центр борьбы «Бескудниково»,Северный административный округ,Бескудниковский район,"Бескудниковский бульвар, дом 12",a25e1db8-cc04-419b-93a1-541611a42e65,sever@mossport.ru,sever.mossport.ru,(499) 488-51-64,37.563486392,55.861922093
407239713,Спортивный комплекс «Дмитровский»,Северный административный округ,Дмитровский район,"Вагоноремонтная улица, дом 2, строение 2",c15f01c6-b486-41bb-bccf-6a3686aa3c1a,sever@mossport.ru,sever.mossport.ru,(495) 483-21-35,37.536755216,55.898636124
407239940,Спортивный комплекс «Дмитровский»,Северный административный округ,Дмитровский район,"Вагоноремонтная улица, дом 2, строение 2",f459a762-77b7-4c99-906b-44945f49a11f,sever@mossport.ru,sever.mossport.ru,(495) 483-21-35,37.536757165,55.898846289
407240762,Спортивно-оздоровительный центр «Юность Москвы»,Северный административный округ,район Беговой,"Ленинградский проспект, дом 31А, строение 1",8629a1d7-a92f-4f3b-9dbc-823a5c22aeeb,yum@mossport.ru,yum.mossport.ru,(495) 612-23-92,37.559061117,55.783913356
407241845,Спортивный комплекс «Вятский»,Северный административный округ,Савёловский район,"Вятская улица, дом 28",ce9f776d-7c8e-4aaa-ad55-aa77785bd079,sever@mossport.ru,sever.mossport.ru,(495) 685-09-45,37.58259556,55.795780212
407241962,Спортивный комплекс «Вятский»,Северный административный округ,Савёловский район,"Вятская улица, дом 28",f6989438-bf98-42f7-9852-6351c5439610,sever@mossport.ru,sever.mossport.ru,(495) 685-09-45,37.582407544,55.795975034
407242234,Спортивный комплекс «Вятский»,Северный административный округ,Савёловский район,"Вятская улица, дом 28",31e05a86-582a-431f-aae7-6b11fba4e660,sever@mossport.ru,sever.mossport.ru,(495) 685-09-45,37.58280209,55.795583142
407242551,Спортивный комплекс «Вятский»,Северный административный округ,Савёловский район,"Вятская улица, дом 28",ee22556f-a1a1-45ae-b580-8804bb4944c4,sever@mossport.ru,sever.mossport.ru,(495) 685-09-45,37.582557116,55.795973096
