global_id,Name,AdmArea,District,Address,Photo,Capacity,DepartmentalAffiliation,ObjectOperOrgName,ObjectOperOrgPhone,Longitude,Latitude
2757725,Велосипедная парковка № 37124 «Гимназия № 1506»,Северо-Восточный административный округ,Северное Медведково,"Широкая улица, дом 1А",4b2327b3-55af-4ff1-ab55-786c1d199557,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.650781,55.889628
2757728,Велосипедная парковка № 37018 «Школа здоровья № 266»,Северо-Восточный административный округ,Лианозово,"Череповецкая улица, дом 10А",87a68eb2-aa64-47e7-8970-998244ba36bd,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.570777,55.896533
2757729,Велосипедная парковка № 37106 «Центр образования № 1459»,Северо-Восточный административный округ,Отрадное,"Отрадная улица, дом 11А",da0d57c7-03f4-47d7-b7e6-291d87f517bd,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.612922,55.857407
2757731,Велосипедная парковка № 37017 «Школа № 263»,Северо-Восточный административный округ,Отрадное,"Отрадная улица, дом 11Б",21da1cde-ed77-4508-880a-bf29ff90db84,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.613732,55.856873
2757733,Велосипедная парковка № 37061 «Школа № 950»,Северо-Восточный административный округ,Отрадное,"Отрадная улица, дом 1А",9e8b9d52-6939-478e-ae10-20dd9dffd969,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.604736,55.859911
2757735,Велосипедная парковка № 37026 «Школа № 301»,Северо-Восточный административный округ,Алтуфьевский,"Алтуфьевское шоссе, дом 60Б",89259401-36c8-4b51-b6af-8752032c53bf,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.591231,55.883355
2757738,Велосипедная парковка № 37085 «Школа № 1414»,Северо-Восточный административный округ,Марьина Роща,"улица Советской Армии, дом 9",6b46272a-c85b-404e-86f9-6de2a03fdcf4,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.616177,55.789416
2757740,Велосипедная парковка № 37004 «Школа № 242»,Северо-Восточный административный округ,Марьина Роща,"1-й проезд Марьиной Рощи, дом 3А",e707d6b5-6b5d-4406-b5fe-c41871723a1b,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.622192,55.793707
2757741,Велосипедная парковка № 37158 «Спецшкола - интернат № 35»,Северо-Восточный административный округ,Марьина Роща,"Новосущёвская улица, дом 7",2676ca53-7b00-4fae-98b4-6712f07ffe43,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.603125,55.787099
2757745,Велосипедная парковка № 37096 «Центр образования № 293»,Северо-Восточный административный округ,Алексеевский,"Ярославская улица, дом 27",8a2dd79b-88f2-4f24-9744-a18582d6a6ee,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.653290,55.827312
